processing,Li_average,Hf_average,Ti_average,Pb_average,Sb_average,Bi_average,Al_average,Sn_average,Ni_average,Mn_average,Mg_average,Cr_average,Si_average,Cu_average,Zn_average,Fe_average,O_average,Ag_average,P_average,Se_average,Co_average,Be_average,Zr_average,S_average,Te_average,C_average,As_average,Other_average,Nb_average,Cd_average,B_average,thermal_conductivity_average_W
2,0,0,0,0.25,0.2,0,0.005,19,0.5,0,0,0,0.005,80.5,0.25,0.25,0,0,1.25,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.25,0.15,0,0.005,10.25,1.6,0,0,0,0.005,87.5,0.25,0.175,0,0,0.275,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.25,0.2,0,0.005,11.9,1.6,0,0,0,0.005,85.5,0.25,0.2,0,0,0.3,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.25,0.15,0,0.005,11.9,1.6,0,0,0,0.005,85.5,0.25,0.175,0,0,0.3,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,1.5,0.225,0,0.005,6,0.9,0,0,0,0.005,88,4,0.225,0,0,0.765,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.65,0.225,0,0.005,8.25,0.9,0,0,0,0.005,87,3.5,0.225,0,0,0.765,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.9,0,0.03,0,8,1,0,0,0,0.005,86.0599825,4,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,3,0.25,0.05,0.005,7,2,0,0,0,0.005,85.2399825,2.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,3,0.25,0,0.005,7,2,0.05,0,0,0.005,85.2399825,2.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,1.25,0.225,0,0.005,11,1.15,0,0,0,0.005,86.5,0.5,0.25,0,0,0.9,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,1.15,0.25,0,0.005,9.9,0.7,0,0,0,0.005,87.25,1.9,0.2,0,0,0.03,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,0.9,0,0.03,0.005,10,1,0,0,0,0.005,85.6599825,2.25,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,1.5,0,0,0.005,10,1,0.03,0,0,0.005,85.0599825,2.25,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5
2,0,0,0,1.75,0.225,0,0.005,10,0.9,0,0,0,0.005,87.5,0.75,0.175,0,0,0.9,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,5,0.25,0,0.005,10,2,0,0,0,0.005,81.3899825,1,0.2,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,5,0.225,0,0.005,16,0.8,0,0,0,0.005,80,0.8,0.175,0,0,0.9,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,2.6,0.175,0,0.005,10,3.4,0,0,0,0.005,84,0.25,0.175,0,0,1,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,3.5,0.25,0,0.005,7.5,1,0,0,0,0.005,85.1399825,2,0.25,0,0,0.3,0,0,0,0,0.05,0,0,0,0,0,0,0,46.5
2,0,0,0,7,0.35,0,0.005,6.9,1,0,0,0,0.005,83,2.5,0.2,0,0,0.15,0,0,0,0,0.044,0,0,0,0,0,0,0,46.5
